event_id,schema_version,run_id,scenario,sequence_no,round_no,attempt_no,attack_type,target,payload,request_started_at,response_received_at,emitted_at,kafka_received_at,persisted_at,http_status,ground_truth_success,response_excerpt,error,dynamic_factor,impact,attack_complexity,risk_level,risk_score,kafka_topic,kafka_partition,kafka_offset,probe_latency_ms,pipeline_latency_ms,end_to_end_latency_ms
76eb2e50-743e-4f91-930c-949ea64429ad,2,ablation-B-20260713-220657,B_waf_enabled,408,408,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.211506,1783951712.2170436,1783951712.2170813,1783951712.2259033,1783951712.225907,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2112,5.537748336791992,8.82577896118164,14.40119743347168
f974074b-d983-4e38-a885-f4ab546eb490,2,ablation-B-20260713-220657,B_waf_enabled,409,409,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.2273617,1783951712.236345,1783951712.2363777,1783951712.24685,1783951712.2468529,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2050,8.983373641967773,10.47515869140625,19.491195678710938
e55ad6a2-8275-4c4c-813c-75218c5b9238,2,ablation-B-20260713-220657,B_waf_enabled,410,410,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.2461884,1783951712.2597954,1783951712.2598233,1783951712.2697885,1783951712.2697916,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2055,13.607025146484375,9.968280792236328,23.603200912475586
b9aae09f-2529-4f53-ae31-b85006268a9b,2,ablation-B-20260713-220657,B_waf_enabled,411,411,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.2683127,1783951712.276586,1783951712.2766159,1783951712.2900844,1783951712.2900867,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2051,8.27336311340332,13.470888137817383,21.7740535736084
15df0738-01b2-4991-99cc-0c855724ae8a,2,ablation-B-20260713-220657,B_waf_enabled,412,412,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.2906013,1783951712.2954168,1783951712.295452,1783951712.3064842,1783951712.306487,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2052,4.815578460693359,11.034965515136719,15.88582992553711
9f073290-f5bf-468d-bfdf-822ed9bb6998,2,ablation-B-20260713-220657,B_waf_enabled,413,413,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.305044,1783951712.3147693,1783951712.3147953,1783951712.3226979,1783951712.3227005,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2053,9.725332260131836,7.905244827270508,17.656564712524414
3ea1fc91-94bd-4b9d-b9a9-b122fd7ffbce,2,ablation-B-20260713-220657,B_waf_enabled,414,414,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.3224146,1783951712.327293,1783951712.3273237,1783951712.3362865,1783951712.3362892,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2056,4.87828254699707,8.965492248535156,13.874530792236328
fcd2059e-26fb-4943-a8a8-c77f4ce3884b,2,ablation-B-20260713-220657,B_waf_enabled,415,415,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.334835,1783951712.3422537,1783951712.3422904,1783951712.3497107,1783951712.3497128,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2113,7.418632507324219,7.422447204589844,14.877796173095703
84b8d0f4-bd7e-446f-9e61-2c47caae5117,2,ablation-B-20260713-220657,B_waf_enabled,416,416,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.3494637,1783951712.3555555,1783951712.3555908,1783951712.365338,1783951712.365341,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2057,6.091833114624023,9.750127792358398,15.877246856689453
483b936c-f9f1-4751-99dc-ea3c33912644,2,ablation-B-20260713-220657,B_waf_enabled,417,417,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.3643742,1783951712.3688338,1783951712.3688555,1783951712.3868954,1783951712.3868976,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2054,4.459619522094727,18.04208755493164,22.52340316772461
