all_persisted_or_timeout_at,all_producer_acked_at,architecture,database_lock_errors,elapsed_seconds,first_started_at,latency_average_ms,latency_p95_ms,latency_p99_ms,loss_rate_percent,lost,other_errors,persisted,planned,producer_acked,run_id,send_errors
,,direct_sqlite_coupled,920,4.220828,,32.632,84.656,147.954,92.0,920,0,80,1000,80,,
1783950979.9809735,1783950976.3567946,kafka_decoupled,,6.078978,1783950973.9020002,22.559,38.566,213.131,0.0,0,,1000,1000,1000,stress-kafka-1783950973-dc2a39b1,0
